Method,dataset,d,nb,nq,nlist,nprobe_requested,nprobe,topk,repeats,warmup_nq,train_time_s,add_time_s,build_time_s,search_time_median_s,qps,recall_at_k,ndis,ndis_per_query,scale,l2norm,rss_mb_before_search,rss_mb_after_search,peak_rss_mb_before_search,peak_rss_mb_after_search,peak_rss_mb_after_train,peak_rss_mb_after_add,index_bytes
IVF-Flat,bigann100M,128,100000000,10000,49152,1,1,10,5,200,4547.447809,23969.28302,28516.73083,0.257787,38791.71727,0.26475,126937105,2538.7421,0.003921569,0,70705.668,70741.129,70705.668,70746.734,1139.102,70697.652,52025559179
IVF-Flat,bigann100M,128,100000000,10000,49152,2,2,10,5,200,4547.447809,23969.28302,28516.73083,0.438491,22805.46726,0.3921,253728970,5074.5794,0.003921569,0,70741.234,70741.238,70746.734,70747.238,1139.102,70697.652,52025559179
IVF-Flat,bigann100M,128,100000000,10000,49152,4,4,10,5,200,4547.447809,23969.28302,28516.73083,0.692196,14446.76749,0.53161,504711030,10094.2206,0.003921569,0,70741.238,70741.238,70747.238,70747.238,1139.102,70697.652,52025559179
IVF-Flat,bigann100M,128,100000000,10000,49152,8,8,10,5,200,4547.447809,23969.28302,28516.73083,1.221016,8189.902937,0.66814,1003899825,20077.9965,0.003921569,0,70741.238,70741.238,70747.238,70747.238,1139.102,70697.652,52025559179
IVF-Flat,bigann100M,128,100000000,10000,49152,16,16,10,5,200,4547.447809,23969.28302,28516.73083,2.406826,4154.848726,0.78607,1979779605,39595.5921,0.003921569,0,70741.238,70741.238,70747.238,70747.242,1139.102,70697.652,52025559179
IVF-Flat,bigann100M,128,100000000,10000,49152,32,32,10,5,200,4547.447809,23969.28302,28516.73083,4.570965,2187.721824,0.87633,3883969075,77679.3815,0.003921569,0,70741.242,70741.242,70747.242,70747.242,1139.102,70697.652,52025559179
IVF-Flat,bigann100M,128,100000000,10000,49152,64,64,10,5,200,4547.447809,23969.28302,28516.73083,8.835118,1131.846789,0.93679,7600614375,152012.2875,0.003921569,0,70741.242,70741.242,70747.242,70747.254,1139.102,70697.652,52025559179
IVF-Flat,bigann100M,128,100000000,10000,49152,128,128,10,5,200,4547.447809,23969.28302,28516.73083,16.914135,591.221493,0.97297,14796807710,295936.1542,0.003921569,0,70741.266,70741.27,70747.254,70747.281,1139.102,70697.652,52025559179
IVF-Flat,bigann100M,128,100000000,10000,49152,256,256,10,5,200,4547.447809,23969.28302,28516.73083,32.395801,308.681979,0.99072,28745959090,574919.1818,0.003921569,0,70741.27,70741.27,70747.281,70747.281,1139.102,70697.652,52025559179
IVF-Flat,bigann100M,128,100000000,10000,49152,512,512,10,5,200,4547.447809,23969.28302,28516.73083,62.08145,161.078711,0.99768,55710554210,1114211.084,0.003921569,0,70741.27,70803.121,70747.281,70818.898,1139.102,70697.652,52025559179
IVF-Flat,bigann100M,128,100000000,10000,49152,1024,1024,10,5,200,4547.447809,23969.28302,28516.73083,119.991815,83.339018,0.99945,1.07892E+11,2157846.083,0.003921569,0,70803.121,71065.16,70818.898,71136.016,1139.102,70697.652,52025559179
