method,nprobe,k_factor,R,topk,batch_q,t_search_s,t_rerank_s,t_total_s,qps_total,recall10_gt10,hit10_gt100,rss_MB,size_gb,peak_MB,train_time_s,add_time_s,build_time_s
opq_ivfpq_refine,8,50,500,10,64,4.087659,3.117495,7.205213,1387.88,0.71958,0.99996, 542077.5,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,8,100,1000,10,64,1.439866,4.927963,6.367852,1570.39,0.71958,0.99996, 542077.6,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,8,200,2000,10,64,1.652578,17.06605,18.718648,534.23,0.71958,0.99996, 542077.7,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,16,50,500,10,64,2.493398,3.326376,5.819794,1718.27,0.8295,1, 542077.8,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,16,100,1000,10,64,2.522097,5.240526,7.762643,1288.22,0.82951,1, 542077.9,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,16,200,2000,10,64,2.735181,17.42775,20.162951,495.96,0.8295,1, 542077.10,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,32,50,500,10,64,4.516021,2.596695,7.112738,1405.93,0.90757,1, 542077.11,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,32,100,1000,10,64,4.576585,5.529364,10.10597,989.51,0.90756,1, 542077.12,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,32,200,2000,10,64,4.840614,18.067166,22.907801,436.53,0.90756,1, 542077.13,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,64,50,500,10,64,8.487844,2.647865,11.135739,898.01,0.9571,1, 542077.14,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,64,100,1000,10,64,8.580964,5.695961,14.276955,700.43,0.9571,1, 542077.15,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,64,200,2000,10,64,8.80808,20.081569,28.88967,346.14,0.95711,1, 542077.16,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,128,50,500,10,64,16.172752,3.687913,19.860693,503.51,0.9827,1, 542077.17,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,128,100,1000,10,64,16.893343,4.88455,21.777956,459.18,0.98269,1, 542077.18,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,128,200,2000,10,64,16.679572,16.164888,32.844487,304.47,0.98269,1, 542077.19,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,256,50,500,10,64,31.887351,2.648905,34.536292,289.55,0.99446,1, 542077.20,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,256,100,1000,10,64,31.055405,6.198166,37.253597,268.43,0.99448,1, 542077.21,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,256,200,2000,10,64,31.479809,18.856156,50.336003,198.66,0.99449,1, 542077.22,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,512,50,500,10,64,60.165769,3.3927,63.558584,157.34,0.99853,1, 542077.23,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,512,100,1000,10,64,60.281739,7.119101,67.400875,148.37,0.99855,1, 542077.24,40.034,543053.9,588.573,27197.64,27786.213
opq_ivfpq_refine,512,200,2000,10,64,60.401024,22.573599,82.974648,120.52,0.99856,1, 542077.25,40.034,543053.9,588.573,27197.64,27786.213
