dataset,method,build_time_hours
GLDv2,IVF-PQ,10.8
GLDv2,IVF-Flat,13.6
GLDv2,DiskANN,1.9
GLDv2,HNSW,1.8
GLDv2,NeuRoute,0.75
BigANN-100M,IVF-PQ,7.1
BigANN-100M,IVF-Flat,7.9
BigANN-100M,DiskANN,3.0
BigANN-100M,HNSW,5.9
BigANN-100M,NeuRoute,0.39
BigANN-1B,IVF-PQ,32.1
BigANN-1B,OPQ+IVF-PQ,10.7
BigANN-1B,DiskANN,18.0
BigANN-1B,NeuRoute,0.82
Deep1B-100M,IVF-PQ,6.2
Deep1B-100M,IVF-Flat,3.7
Deep1B-100M,DiskANN,4.0
Deep1B-100M,HNSW,6.8
Deep1B-100M,NeuRoute,0.39
Deep1B-1B,IVF-PQ,32.0
Deep1B-1B,OPQ+IVF-PQ,10.5
Deep1B-1B,DiskANN,36.5
Deep1B-1B,NeuRoute,0.93
